2018-12-01T10:00:00.000Z	1	10.3	fred	28	(3.1,-1.5)	3.7	2020-12-29T04:40:00Z	2000-12-29T04:40:00Z	2020-01-05T00:30:00Z	t	0	5	100	2000	65.4	2391.5	7C8C893C8087F07883AF	{aaa,bbb,ccc}	{true,false,true}	{1,2,3,4}	{1,2,3}	{444,333,222}	{44444,22222,45555}	{2.3,4.2,62.1}	{444.2,554.3,5432.5}	{2020-12-29T04:45:00Z,2020-12-29T04:46:00Z}
2018-12-01T10:10:00.000Z	2	5.7	larry	60	(21.8,4.9)	3.1	2020-12-29T04:50:00Z	2020-03-17T04:40:00Z	2020-01-05T01:00:00Z	f	20	120	1000	2500	44.5	2432.78	09C4A3E91E60BCD22357	{abcdef,ghijkl,mnopqs}	{f,f,t}	{2,9,11,25}	{45,22,35,50}	{4445,33,2221}	{25413,77548,36251}	{4.2,24.54,70.55}	{4431.63,-200.14,3265.1}	{2020-12-31T14:00:00Z,2020-12-31T14:45:00Z,2020-01-01T15:00:00Z}
2018-12-01T10:20:00.000Z	3	8.2	GEORGE	30	(1.2,-3.5)	3.8	2020-12-29T05:00:30Z	2020-12-11T02:30:30Z	2020-01-05T01:30:00Z	f	11	175	1234	7705	15.72	1435.22	09C4A3E91E60BCD22357	{7777a32ebea96a918b0f,40ee382083b987e94dd1,d417cf517eca8c2a709a}	{t,t,f,f}	{12,29,1,14,16}	{255,124,77,51}	{2697,2641,7777}	{12475,12346,12654}	{22.5,12.11,23.54}	{3567.21,2124.23,-1254.11}	{2020-05-19T14:15:20Z,2020-11-14T17:45:14Z,2020-09-05T01:24:06Z}
2018-12-01T10:30:00.000Z	4	4.5	BOB	35	(5.2,3.8)	2.5	2020-12-29T05:10:00.120Z	2020-12-29T05:10:00.563Z	2020-01-05T02:00:30Z	t	0	5	30000000	2000	65.4	2391.5	7731b23fa1437ab784e3	{aaa,bbb,ccc}	{t,f,t}	{1,2,3,4}	{1,2,3}	{444,333,222}	{44444,22222,45555}	{2.3,4.2,62.1}	{444.2,554.3,5432.5}	{2020-12-29T04:45:00Z,2020-12-29T04:46:00Z}
2080-12-01T10:40:00.000Z	3	5.5	Ezreal	30	(1.2,-3.5)	3.8	2020-12-29T05:00:30Z	2020-12-11T02:30:30Z	2020-01-05T01:30:00Z	f	11	175	1234	7705	15.72	1435.22	09C4A3E91E60BCD22357	{7777a32ebea96a918b0f,40ee382083b987e94dd1,d417cf517eca8c2a709a}	{t,t,f,f}	{12,29,1,14,16}	{255,124,77,51}	{2697,2641,7777}	{12475,12346,12654}	{22.5,12.11,23.54}	{3567.21,2124.23,-1254.11}	{2020-05-19T14:15:20Z,2020-11-14T17:45:14Z,2020-09-05T01:24:06Z}
2018-12-01T10:40:00.000Z	5	5.4	Dylan	75	(2.2,4.8)	3.5	2020-12-29T05:20:00.120Z	2020-12-29T05:10:00Z	2020-01-05T02:30:30Z	t	0	5	1	2000	65.4	2391.5	7731b23fa1437ab784e3	{aaa,bbb,ccc}	{t,f,t}	{1,2,3,4}	{1,2,3}	{445,333,223}	{44445,22223,45556}	{2.4,4.2,62.2}	{444.2,554.3,5432.5}	{2020-12-29T04:45:00Z,2020-12-29T04:46:00Z}
2018-12-01T10:50:00.000Z	6	4.5	Harry	36	(2.3,4.8)	3.5	2020-12-29T05:30:00.130Z	2020-12-29T06:10:00Z	2020-01-05T03:00:30Z	t	0	5	1	2000	65.4	2391.5	7731b23fa1437ab784e3	{aaa,bbb,ccc}	{t,f,t}	{1,2,3,4}	{1,2,3}	{446,333,224}	{44446,22224,45557}	{2.5,4.2,62.3}	{444.2,554.3,5432.5}	{2020-12-29T04:45:00Z,2020-12-29T04:46:00Z}
2018-12-02T10:00:00.000Z	1	10.5	Mary	35	(3.2,4.8)	3.5	2020-12-29T05:40:00.140Z	2020-12-29T07:10:00Z	2020-01-05T04:30:30Z	t	0	5	1	2000	65.4	2391.5	7731b23fa1437ab784e3	{aaa,bbb,ccc}	{t,f,t}	{1,2,3,4}	{1,2,3}	{447,333,225}	{44447,22225,45558}	{2.6,4.2,62.4}	{444.2,554.3,5432.5}	{2020-12-29T04:45:00Z,2020-12-29T04:46:00Z}
2018-12-02T12:00:00.000Z	2	9.4	Julia	37	(2.4,4.8)	3.5	2020-12-29T05:50:00.150Z	2020-12-29T08:10:00Z	2020-01-05T05:00:30Z	t	0	5	1	2000	65.4	2391.5	7731b23fa1437ab784e3	{aaa,bbb,ccc}	{t,f,t}	{1,2,3,4}	{1,2,3}	{448,333,226}	{44448,22226,45559}	{2.7,4.2,62.5}	{444.2,554.3,5432.5}	{2020-12-29T04:45:00Z,2020-12-29T04:46:00Z}
2018-12-02T16:00:00.000Z	3	8	Kane	38	(4.2,4.8)	3.5	2020-12-29T06:00:00.160Z	2020-12-29T09:10:00Z	2020-01-05T05:30:30Z	t	0	5	1	2000	65.4	2391.5	7731b23fa1437ab784e3	{aaa,bbb,ccc}	{t,f,t}	{1,2,3,4}	{1,2,3}	{449,333,227}	{44449,22227,45565}	{2.8,4.2,62.6}	{444.2,554.3,5432.5}	{2020-12-29T04:45:00Z,2020-12-29T04:46:00Z}
